종명,접수일시,도로유형,도로명
고라니,2021-03-16,국도,28
개,2021-03-16,국도,13
미동정(포유류),2021-03-17,국도,38
고양이,2021-03-17,국도,30
미동정(포유류),2021-03-17,국도,23
고라니,2021-03-17,국도,30
고라니,2021-03-17,국도,28
고라니,2021-03-17,국도,23
미동정(포유류),2021-03-18,국도,25
고라니,2021-03-18,국도,24
고양이,2021-03-18,국도,24
미동정(포유류),2021-03-18,국도,32
고라니,2021-03-18,국도,77
개,2021-03-18,국도,77
미동정(포유류),2021-03-18,국도,7
고라니,2021-03-18,국도,1
고양이,2021-03-19,국도,1
고라니,2021-03-19,국도,45
고양이,2021-03-19,국도,42
미동정(포유류),2021-03-19,국도,3
개,2021-03-19,국도,22
고양이,2021-03-19,국도,42
너구리,2021-03-19,국도,24
고양이,2021-03-19,국도,24
고양이,2021-03-21,국도,7
고라니,2021-03-21,국도,44
고라니,2021-03-22,국도,23
개,2021-03-22,국도,3
고라니,2021-03-22,국도,22
꿩,2021-03-22,국도,24
고라니,2021-03-22,국도,4
고양이,2021-03-22,국도,19
족제비,2021-03-23,국도,19
고라니,2021-03-23,국도,43
고양이,2021-03-23,국도,1
고라니,2021-03-23,국도,23
미동정(포유류),2021-03-23,국도,35
고양이,2021-03-23,국도,19
고라니,2021-03-24,국도,35
삵,2021-03-24,국도,23
너구리,2021-03-24,국도,22
개,2021-03-24,국도,23
고라니,2021-03-24,국도,25
고양이,2021-03-25,국도,44
고양이,2021-03-25,국도,1
너구리,2021-03-25,국도,19
개,2021-03-25,국도,5
고양이,2021-03-25,국도,42
족제비,2021-03-25,국도,29
고라니,2021-03-25,국도,4
미동정(포유류),2021-03-25,국도,3
고양이,2021-03-25,국도,37
고라니,2021-03-25,국도,38
고양이,2021-03-25,국도,22
미동정(포유류),2021-03-25,국도,36
고양이,2021-03-25,국도,4
고양이,2021-03-25,국도,36
고라니,2021-03-25,국도,23
고라니,2021-03-26,국도,25
고양이,2021-03-26,국도,7
고라니,2021-03-28,국도,38
개,2021-03-28,국도,45
고라니,2021-03-28,국도,45
미동정(포유류),2021-03-28,국도,45
너구리,2021-03-29,국도,31
고라니,2021-03-29,국도,1
고라니,2021-03-29,국도,23
오소리,2021-03-29,국도,1
고양이,2021-03-29,국도,3
개,2021-03-29,국도,24
너구리,2021-03-29,국도,6
개,2021-03-29,국도,24
고라니,2021-03-29,국도,3
미동정(포유류),2021-03-29,국도,22
고양이,2021-03-29,국도,30
고라니,2021-03-29,국도,23
고양이,2021-03-29,국도,30
고라니,2021-03-29,국도,4
개,2021-03-29,국도,38
고양이,2021-03-29,국도,38
노루,2021-03-29,국도,22
