종명,접수일시,도로유형,도로명
노루,2019-12-21,지방도,지방도1132호선
고라니,2019-12-21,국도,전진로
고양이,2019-12-21,국도,6
너구리,2019-12-21,지방도,초락2로
까마귀,2019-12-21,국도,6
고양이,2019-12-21,국도,일반국도2호선
노루,2019-12-21,지방도,지방도1117호선
노루,2019-12-21,지방도,지방도1117호선
고라니,2019-12-21,시도,봉화로
멧돼지,2019-12-21,고속국도(재정),동해고속도로
개,2019-12-21,고속국도(재정),영동고속도로
노루,2019-12-20,지방도,지방도1117호선
고라니,2019-12-20,국도,일반국도33호선
고라니,2019-12-20,국도,계백로
고양이,2019-12-20,지방도,지방도1037호선
고라니,2019-12-20,국도,일반국도32호선
고양이,2019-12-20,국도,영나로
삵,2019-12-20,국도,일반국도33호선
고라니,2019-12-20,국도,일반국도34호선
고라니,2019-12-20,국도,일반국도17호선
고라니,2019-12-20,국도,일반국도17호선
개,2019-12-20,고속국도(재정),영동고속도로
고양이,2019-12-20,국도,일반국도25호선
개,2019-12-20,시도,반촌로
집비둘기,2019-12-20,시도,용문로
고양이,2019-12-20,국도,일반국도3호선
개,2019-12-20,국도,파인토피아로
고양이,2019-12-20,국도,일반국도5호선
고라니,2019-12-20,국도,일반국도1호선
고라니,2019-12-20,국도,일반국도5호선
고양이,2019-12-20,국도,일반국도14호선
너구리,2019-12-20,국도,일반국도19호선
고라니,2019-12-20,국도,남해안대로
고양이,2019-12-20,지방도,지방도615호선
고라니,2019-12-20,국도,일반국도30호선
미동정(포유류),2019-12-20,고속국도(재정),중부내륙고속도로
삵,2019-12-20,국도,파인토피아로
고라니,2019-12-20,국도,일반국도38호선
고라니,2019-12-20,국도,일반국도34호선
고양이,2019-12-20,국도,일반국도30호선
고라니,2019-12-20,고속국도(재정),영동고속도로
고라니,2019-12-20,지방도,지방도607호선
고라니,2019-12-20,국도,일반국도3호선
너구리,2019-12-20,국도,일반국도5호선
멧돼지,2019-12-20,국도,일반국도38호선
고라니,2019-12-20,국도,강원남로
고라니,2019-12-20,고속국도(재정),서해안고속도로
고라니,2019-12-20,국도,일반국도3호선
고양이,2019-12-19,시도,백암1길
삵,2019-12-19,국도,남순환로
너구리,2019-12-19,시도,신평화로
고양이,2019-12-19,국도,일반국도14호선
고라니,2019-12-19,시도,일반국도36호선
미동정(포유류),2019-12-19,국도,우주항공로
고라니,2019-12-19,지방도,석문방조제로
고라니,2019-12-19,지방도,지방도615호선
고라니,2019-12-19,국도,일반국도36호선
고라니,2019-12-19,국도,일반국도38호선
꿩,2019-12-19,국도,45
고라니,2019-12-19,국도,일반국도29호선
고라니,2019-12-19,국도,일반국도34호선
너구리,2019-12-19,국도,일반국도3호선
고라니,2019-12-19,국도,일반국도34호선
고라니,2019-12-19,국도,37
고양이,2019-12-19,국도,37
개,2019-12-19,국도,37
고라니,2019-12-19,고속국도(재정),당진영덕고속도로
고라니,2019-12-19,국도,일반국도38호선
고라니,2019-12-19,국도,일반국도38호선
고라니,2019-12-19,지방도,지방도611호선
고라니,2019-12-19,고속국도(재정),중부내륙고속도로
고라니,2019-12-19,국도,생거진천로
고라니,2019-12-19,국도,생음대로
고라니,2019-12-19,국도,일반국도33호선
고라니,2019-12-19,국도,일반국도3호선
고라니,2019-12-19,국도,일반국도17호선
고라니,2019-12-19,국도,일반국도3호선
너구리,2019-12-19,고속국도(재정),평택제천고속도로
꿩,2019-12-19,국도,일반국도3호선
고라니,2019-12-19,국도,호남로
고양이,2019-12-19,국도,경북대로
고라니,2019-12-19,국도,경북대로
삵,2019-12-19,국도,일반국도2호선
고양이,2019-12-19,지방도,지방도606호선
고라니,2019-12-19,국도,일반국도1호선
고라니,2019-12-18,고속국도(재정),당진영덕고속도로
고양이,2019-12-18,지방도,남부로
고라니,2019-12-18,국도,정읍대로
너구리,2019-12-18,국도,일반국도30호선
고양이,2019-12-18,국도,일반국도30호선
개,2019-12-18,지방도,지방도622호선
고양이,2019-12-18,국도,47
고라니,2019-12-18,국도,문경대로
고라니,2019-12-18,국도,일반국도15호선
고양이,2019-12-18,고속국도(재정),서해안고속도로
너구리,2019-12-18,국도,일반국도14호선
고라니,2019-12-18,국도,생음대로
고라니,2019-12-18,국도,일반국도17호선
고라니,2019-12-18,국도,진성로
고라니,2019-12-18,국도,37
고양이,2019-12-18,고속국도(재정),평택제천고속도로
고라니,2019-12-18,지방도,지방도615호선
고라니,2019-12-18,국도,일반국도32호선
고라니,2019-12-18,국도,47
고라니,2019-12-18,국도,구성지례로
미동정(포유류),2019-12-18,지방도,지방도615호선
고라니,2019-12-18,국도,3
고라니,2019-12-18,국도,일반국도38호선
고라니,2019-12-18,국도,일반국도38호선
고라니,2019-12-18,고속국도(재정),중앙고속도로
고라니,2019-12-18,국도,6
고라니,2019-12-18,시도,일반국도22호선
고양이,2019-12-18,국도,일반국도27호선
고라니,2019-12-18,국도,일반국도25호선
고라니,2019-12-18,국도,일반국도20호선
너구리,2019-12-18,국도,일반국도1호선
너구리,2019-12-18,국도,칠갑산1로
고라니,2019-12-18,국도,일반국도14호선
고라니,2019-12-18,국도,예영로
고라니,2019-12-18,고속국도(재정),서해안고속도로
고양이,2019-12-18,국도,강원남로
고라니,2019-12-18,고속국도(재정),광주대구고속도로
고라니,2019-12-18,고속국도(재정),서해안고속도로
고라니,2019-12-18,고속국도(재정),당진영덕고속도로
고라니,2019-12-17,고속국도(재정),당진영덕고속도로
고라니,2019-12-17,고속국도(재정),동해고속도로
고라니,2019-12-17,고속국도(재정),당진영덕고속도로
고라니,2019-12-17,국도,일반국도25호선
미동정(포유류),2019-12-17,국도,6
고라니,2019-12-17,국도,일반국도38호선
고라니,2019-12-17,고속국도(재정),동해고속도로
너구리,2019-12-17,국도,일반국도38호선
고라니,2019-12-17,국도,일반국도5호선
고양이,2019-12-17,국도,일반국도19호선
고라니,2019-12-17,국도,진성로
고라니,2019-12-17,국도,일반국도1호선
너구리,2019-12-17,국도,일반국도38호선
고양이,2019-12-17,국도,모악로
고라니,2019-12-17,국도,일반국도17호선
너구리,2019-12-17,국도,일반국도38호선
고라니,2019-12-17,국도,일반국도17호선
고라니,2019-12-17,국도,생음대로
고라니,2019-12-17,국도,일반국도38호선
고라니,2019-12-17,국도,충절로
너구리,2019-12-17,시도,충절로
고양이,2019-12-17,국도,37
너구리,2019-12-17,국도,난계로
고라니,2019-12-17,국도,일반국도3호선
고라니,2019-12-17,국도,37
고양이,2019-12-17,국도,국도77호선
